Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
I4265,I4265,"KZ-AKT-003, Object 7, burial enclosure 2, Grave 3",petrous,separate nuclear and mtDNA target enrichment,"1640-1527 calBCE (3310±20 BP, PSUAMS-2511)",This study,Michael Frachetti,3534,"1640-1527 calBCE (3310±20 BP, PSUAMS-2511)",MLBA,Western_Steppe_MLBA,Aktogai_MLBA,Yes,Aktogai,Kazakhstan,Forest / Steppe,46.96586667,80.03473333,M,N1a1a1a1,R1a1a1b2,automatic,3.964,804977,0.003781,4.026912256,S4265.E1.L1,half,0.115,0.992,PASS (Xcontam=0.004)
I1852,I1852,"SS7800-9, Ust-Bir IV, grave 10",bone,separate nuclear and mtDNA target enrichment,"1623-1518 calBCE (3295±20 BP, PSUAMS-2865)",This study,"James Mallory, Svetlana Svyatko",3521,"1623-1518 calBCE (3295±20 BP, PSUAMS-2865)",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Minusinsk Basin, Ust-Bir IV",Russia,Forest / Steppe,54.17931667,91.57886667,F,T2b34,n/a (female),n/a (female),0.363,326313,n/a (female),n/a (female),S1852.E1.L1,half,0.049,0.994,PASS
I4784,I4784,"KZ-KUZ-001, Grave 46",petrous,separate nuclear and mtDNA target enrichment,"1618-1513 calBCE (3290±20 BP, PSUAMS-2613)",This study,Michael Frachetti,3516,"1618-1513 calBCE (3290±20 BP, PSUAMS-2613)",MLBA,Steppe_MLBA_oBMAC,Kyzlbulak_MLBA2,Yes,Kyzyl Bulak 1,Kazakhstan,Forest / Steppe,43.24655,77.813814,M,G2a1,Q1a2b2,automatic,4.481,792744,0.005295,4.829551933,S4784.E1.L1,half,..,0.996,PASS (Xcontam=0.005)
I4773,I4773,"KZ-AKT-002, Object 7, burial enclosure 2, Grave 2",petrous,separate nuclear and mtDNA target enrichment,"1618-1513 calBCE (3290±20 BP, PSUAMS-2607)",This study,Michael Frachetti,3516,"1618-1513 calBCE (3290±20 BP, PSUAMS-2607)",MLBA,Western_Steppe_MLBA,Aktogai_MLBA,Yes,Aktogai,Kazakhstan,Forest / Steppe,46.96586667,80.03473333,M,U5a1a2a,R1a,automatic,5.029,802159,0.002216,2.677372613,S4773.E1.L1,half,0.083,0.997,PASS
I4258,I4258,"UZ-DK-001, Dashti-Kozy, 44-33, burial 15 ",petrous,separate nuclear and mtDNA target enrichment,"1620-1506 calBCE (3285±25 BP, PSUAMS-2121)",This study,Michael Frachetti,3513,"1620-1506 calBCE (3285±25 BP, PSUAMS-2121)",MLBA,Steppe_MLBA_oBMAC,Dashti_Kozy_BA,Yes,Dashty-Kozy,Tajikistan,Forest / Steppe,39.44805556,68.03138889,F,T2b34,n/a (female),n/a (female),3.235,758945,n/a (female),n/a (female),S4258.E1.L1,half,0.128,0.991,PASS
I4774,I4774,"KZ-AKT-008, Object 7, Kurgan 4",petrous,separate nuclear and mtDNA target enrichment,"1615-1509 calBCE (3285±20 BP, PSUAMS-2608)",This study,Michael Frachetti,3512,"1615-1509 calBCE (3285±20 BP, PSUAMS-2608)",MLBA,Western_Steppe_MLBA,Aktogai_MLBA,Yes,Aktogai,Kazakhstan,Forest / Steppe,46.96586667,80.03473333,M,J1c5a,R1a1a1b,automatic,4.541,801882,0.005907,4.813776839,S4774.E1.L1,half,0.084,0.998,PASS (Xcontam=0.006)
I11520,I11520,"UZ-BST-015, Site 4, Grave 4, 57-27 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),"1613-1509 calBCE (3280±20 BP, PSUAMS-4605)",This study,Michael Frachetti,3511,"1613-1509 calBCE (3280±20 BP, PSUAMS-4605)",BA,Bustan_BA_o2,Bustan_BA_o2,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,HV2a2,R2a3a2,automatic,3.64891,783715,0.003984,4.049487914,S11520.E1.L1,half,0.115,0.992,PASS (Xcontam=0.004)
I1821,I1821,"SS8993-8, Potroshilovo II, enclosure 5, grave 1",bone (cranial),separate nuclear and mtDNA target enrichment,"1612-1506 calBCE (3275±20 BP, PSUAMS-2435)",This study,"James Mallory, Svetlana Svyatko",3509,"1612-1506 calBCE (3275±20 BP, PSUAMS-2435)",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Minusinsk Basin, Potroshilovo II",Russia,Forest / Steppe,53.87313333,91.46046667,M,T1a1,R1a1a1b,automatic,0.477,417553,0.001118,0.298413683,S1821.E1.L1,half,0.086,0.996,PASS
I6718,I6718,"StPet64, collection 3864, individual 4",petrous,separate nuclear and mtDNA target enrichment,"1616-1501 calBCE (3275±25 BP, PSUAMS-3911)",This study,Vyacheslav Moiseyev,3509,"1616-1501 calBCE (3275±25 BP, PSUAMS-3911)",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,U4a,R1a1a1b,automatic,3.933119,848573,0.004739,4.382582126,S6718.E1.L1,half,0.077,0.975,PASS (Xcontam=0.005)
I4789,I4789,"KZ-DJA-001 + KZ-DJA-002, Oy-Dzhaylau 7, Construction 3, Grave 1, bones without skull",petrous,separate nuclear and mtDNA target enrichment,"1617-1498 calBCE (3270±25 BP, PSUAMS-2964)",This study,Michael Frachetti,3508,"1617-1498 calBCE (3270±25 BP, PSUAMS-2964)",MLBA,Central_Steppe_MLBA,Oy_Dzhaylau_MLBA,Yes,Oy-Dzhaylau III,Kazakhstan,Forest / Steppe,42.68943333,73.11748333,F,U5a1a1,n/a (female),n/a (female),5.027272,848198,n/a (female),n/a (female),"S4789.E1.L1,S7058.E1.L1","half,half","0.086,0.089","0.992,0.999",PASS
I4322,I4322,"KZ-KAZ-005, Kazakh Mys 2015, Area 1, Grave 1 ",petrous,separate nuclear and mtDNA target enrichment,"1611-1503 calBCE (3270±20 BP, PSUAMS-2544)",This study,Michael Frachetti,3507,"1611-1503 calBCE (3270±20 BP, PSUAMS-2544)",MLBA,Central_Steppe_MLBA,Kazakh_Mys_MLBA,Yes,Kazakh Mys,Kazakhstan,Forest / Steppe,46.94785,79.98808333,M,U2e1h,R1a1,automatic,0.841,518037,0.008629,2.29467157,S4322.E1.L1,half,0.145,0.991,PASS (Xcontam=0.009)
I1853,I1853,"SS8993-10, Potroshilovo II, enclosure 7",bone (cranial),separate nuclear and mtDNA target enrichment,"1611-1503 calBCE (3270±20 BP, PSUAMS-2437)",This study,"James Mallory, Svetlana Svyatko",3507,"1611-1503 calBCE (3270±20 BP, PSUAMS-2437)",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Minusinsk Basin, Potroshilovo II",Russia,Forest / Steppe,53.87313333,91.46046667,M,H2b,R,automatic,0.107,118752,n/a (<200 SNPs),n/a (<200 SNPs),S1853.E1.L1,half,..,0.934,PASS (mtcontam=0.934)
I1828,I1828,"SS7800-23, Ust-Bir IV, grave 26",bone (cranial),separate nuclear and mtDNA target enrichment,"1611-1503 calBCE (3270±20 BP, PSUAMS-2960)",This study,"James Mallory, Svetlana Svyatko",3507,"1611-1503 calBCE (3270±20 BP, PSUAMS-2960)",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Minusinsk Basin, Ust-Bir IV",Russia,Forest / Steppe,54.17931667,91.57886667,F,K1a4b,n/a (female),n/a (female),0.115,125632,n/a (female),n/a (female),S1828.E1.L1,half,0.068,0.982,PASS
I5762,I5762,"KZ-KAR-014, Kairan I, Enclosure 6, Grave 1 ",tooth,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3500,1600-1500 BCE,MLBA,Western_Steppe_MLBA_LowCov,Kairan_MLBA_LowCov,No,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,M,..,BT,automatic,0.005266,6302,n/a (<200 SNPs),n/a (<200 SNPs),S5762.E1.L1,half,0.052,n/a (mtDNA coverage <2x),PASS
RISE416.SG,RISE416,#14,tooth,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,AllentoftNature2015,n/a (previously reported),3494,"1643-1445 calBCE (3259±40 BP, UBA-27942)",EMBA,Armenia_MBA.SG,Armenia_MBA.SG,Yes,Nerquin Getashen,Armenia,West Asia,40.14,45.26,M,..,CT,manual,0.025,29391,..,..,..,minus,..,..,PASS
I4315,I4315,"UZ-JAR-004, Jarkutan 4b-85, Grave 60 ",petrous,separate nuclear and mtDNA target enrichment,"1609-1465 calBCE (3255±15 BP, PSUAMS-2518)",This study,"Michael Frachetti, Julio Bendezu-Sarmiento",3487,"1609-1465 calBCE (3255±15 BP, PSUAMS-2518)",BA,BMAC,Dzharkutan1_BA,Yes,Dzharkutan,Uzbekistan,Iran / Turan,37.75,67,M,R2+13500+195,R1b1(xR1b1a),manual,3.011,732399,0.005582,3.965184233,S4315.E1.L1,half,0.145,0.984,PASS (Xcontam=0.006)
I1851,I1851,"SS7800-24, Ust-Bir IV, grave 28",bone (cranial),separate nuclear and mtDNA target enrichment,"1611-1459 calBCE (3255±20 BP, PSUAMS-2436)",This study,"James Mallory, Svetlana Svyatko",3485,"1611-1459 calBCE (3255±20 BP, PSUAMS-2436)",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Minusinsk Basin, Ust-Bir IV",Russia,Forest / Steppe,54.17931667,91.57886667,M,H2b,R1a1a1b,automatic,0.495,404194,0.011934,1.78926039,S1851.E1.L1,half,0.053,0.986,PASS
I4163,I4163,"UZ-JAR-011, Jarkutan 4a 1975, Grave 211 ",petrous,separate nuclear and mtDNA target enrichment,"1611-1453 calBCE (3250±25 BP, PSUAMS-2112)",This study,"Michael Frachetti, Julio Bendezu-Sarmiento",3482,"1611-1453 calBCE (3250±25 BP, PSUAMS-2112)",BA,BMAC,Dzharkutan1_BA,Yes,Dzharkutan,Uzbekistan,Iran / Turan,37.75,67,F,J1b,n/a (female),n/a (female),0.9,571489,n/a (female),n/a (female),S4163.E1.L1,half,..,0.985,PASS
I4783,I4783,"KZ-KAZ-006, Kazakh Mys 2015, Area 3, Grave 1 ",petrous,separate nuclear and mtDNA target enrichment,"1610-1454 calBCE (3250±20 BP, PSUAMS-2612)",This study,Michael Frachetti,3482,"1610-1454 calBCE (3250±20 BP, PSUAMS-2612)",MLBA,Central_Steppe_MLBA,Kazakh_Mys_MLBA,Yes,Kazakh Mys,Kazakhstan,Forest / Steppe,46.94785,79.98808333,M,H1,R1a1a1b,automatic,2.431,731426,0.006107,3.673635365,S4783.E1.L1,half,..,0.992,PASS (Xcontam=0.006)
I4791,I4791,"KZ-DJA-006, Oy-Dzhaylau 7, Grave 5 (Construction 3)",petrous,separate nuclear and mtDNA target enrichment,"1609-1450 calBCE (3245±20 BP, PSUAMS-2548)",This study,Michael Frachetti,3480,"1609-1450 calBCE (3245±20 BP, PSUAMS-2548)",MLBA,Central_Steppe_MLBA,Oy_Dzhaylau_MLBA,Yes,Oy-Dzhaylau III,Kazakhstan,Forest / Steppe,42.68943333,73.11748333,M,J1b1a1,R1a,automatic,0.116,123356,n/a (<200 SNPs),n/a (<200 SNPs),S4791.E1.L1,half,..,0.996,PASS
I3763,I3763,"CII-47, stone fencing 35, grave 1 ",tooth,separate nuclear and mtDNA target enrichment,"1609-1443 calBCE (3240±25 BP, PSUAMS-2502)",This study,"Carles Lalueza-Fox, David Pettener, Gian Luca Bonora, Stefania Sarno",3476,"1609-1443 calBCE (3240±25 BP, PSUAMS-2502)",LBA,Steppe_LBA,Zevakinskiy_MLBA,Yes,Zevakinskiy stone fence,Kazakhstan,Forest / Steppe,50.2249,81.83678333,M,U2a,R1a1a1b2a2a,automatic,1.505,724973,0.003554,2.211633541,S3763.E1.L1,half,0.059,0.996,PASS (Xcontam=0.004)
I4160,I4160,"UZ-DK-004, Dashti-Kozy 1985, burial 12, 44-35, individual 3 ",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3475,1650-1400 BCE [context from radiocarbon dates of two other skeletons from the same graveyard],MLBA,Steppe_MLBA_oBMAC,Dashti_Kozy_BA,Yes,Dashty-Kozy,Tajikistan,Forest / Steppe,39.44805556,68.03138889,F,U2e1h,n/a (female),n/a (female),2.452,829426,n/a (female),n/a (female),S4160.E1.L1,half,0.086,0.987,PASS
I0233,I0233,"SVP13, Novosel'ki, kurgan 2, grave 4",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study,"Alexander Khokhlov, David Anthony",3475,1850-1200 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Tatarstan oblast, forest-steppe zone, Novosel'ki",Russia,Forest / Steppe,48.1,54.44,M,U5a1i,R1,automatic,0.03,35413,n/a (<200 SNPs),n/a (<200 SNPs),S0233.E1.L2,half,0.049,0.964,PASS
I0361,I0361,"SVP9, Spiridonovka IV, kurgan 2, grave 5",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3475,1850-1200 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara River, Spiridonovka IV",Russia,Forest / Steppe,53.03,50.39,M,H5b,R1a1a,manual,0.692967,550931,0.004707,1.194829867,"S0361.E1.L1,S0361.E2.L1,S0361.E2.L2","half,half,half","0.096,0.062,0.059","0.999,1,1",PASS
I0359,I0359,"SVP7, Spiridonovka IV, kurgan 1, grave 6",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3475,1850-1200 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara River, Spiridonovka IV",Russia,Forest / Steppe,53.03,50.39,F,U5a2a1,n/a (female),n/a (female),2.202642,866715,n/a (female),n/a (female),"S0359.E1.L1,S0359.E2.L1,S0359.E2.L2","half,half,half","0.076,0.06,0.058","0.997,1,1",PASS
I0422,I0422,"SVP30, Barinovka I, kurgan 2, grave 24",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3475,1850-1200 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara River, Barinovka I",Russia,Forest / Steppe,52.54,50.5,F,T1a1,n/a (female),n/a (female),2.297808,876789,n/a (female),n/a (female),"S0422.E1.L1,S0422.E2.L1,S0422.E2.L2","half,half,half","..,0.063,0.058","1,1,0.999",PASS
I0232,I0232,"SVP12, Novosel’ki, kurgan 6, grave 1",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3475,1850-1200 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Tatarstan oblast, forest-steppe zone, Novosel'ki",Russia,Forest / Steppe,48.1,54.44,M,U5a1f2,R1a1a1b2,manual,8.649537,1112239,0.005508,8.285663441,"S0232.E3.L1,S0232.E2.L1,S0232.E4.L1,S0232.E4.L2","half,half,half,half","0.065,0.086,0.058,0.053","0.997,0.997,0.998,0.997",PASS (Xcontam=0.006)
I7060,I7060,"KZ-DJA-005, Oy-Dzhaylau 7, Grave 4",tooth (molar),separate nuclear and mtDNA target enrichment,"1608-1437 calBCE (3235±25 BP, PSUAMS-3728)",This study,Michael Frachetti,3473,"1608-1437 calBCE (3235±25 BP, PSUAMS-3728)",MLBA,Central_Steppe_MLBA,Oy_Dzhaylau_MLBA,Yes,Oy-Dzhaylau III,Kazakhstan,Forest / Steppe,42.68943333,73.11748333,F,T1a1,n/a (female),n/a (female),1.08389,662193,n/a (female),n/a (female),S7060.E1.L1,half,0.039,0.999,PASS
DA231.SG,DA231,"CGG_2_016405, Mitjurino, 24th april 1989, Mitjurino, 24th april 1989",..,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardNature2018,n/a (previously reported),3468,"1611-1425 calBCE (3225±43 BP, UBA-33602)",MLBA,Kazakhstan_Andronovo.SG,Kazakhstan_Andronovo.SG,Yes,"Tian Shan, Central Steppe",Kazakhstan,Forest / Steppe,52.49083333,76.83944444,F,U2e1h,n/a (female),n/a (female),0.582,390029,n/a (female),n/a (female),..,minus,..,..,PASS
I6707,I6707,"StPet36, collection 6037, individual 3, engraving 6, skeleton 9 ",petrous,separate nuclear and mtDNA target enrichment,"1596-1439 calBCE (3230±20 BP, PSUAMS-2978)",This study,Vyacheslav Moiseyev,3468,"1596-1439 calBCE (3230±20 BP, PSUAMS-2978)",MLBA,Western_Steppe_MLBA,Bylkyldak_MLBA,Yes,"Karaganda region, Bylkyldak",Kazakhstan,Forest / Steppe,49.709894,73.882838,F,U4a1,n/a (female),n/a (female),3.828264,831975,n/a (female),n/a (female),S6707.E1.L1,half,0.065,0.983,PASS
I7949,I7949,"BILI_7958, Grave ?, No. 15, National Museum No. P7A 7958",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Petr Veleminsky, Miroslav Dobeš",3450,2200-800 BCE,MLBA,Bilina_BA,Bilina_BA,Yes,"Bílina, Köhler's sandpit",Czech Republic,Europe,50.5589705,13.802021,M,U5a1i1,"R1b1a1a2a1a(xR1b1a1a2a1a1,xR1b1a1a2a1a2)",manual,5.470052,857331,0.005392,5.667103891,S7949.E1.L1,half,0.108,0.991,PASS (Xcontam=0.005)
I10112,I10112,"Tomsk_4379, inventory number 4379, burial 7",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Sergey Mikhailovich Slepchenko, Dmitri Enshin",3450,1600-1400 BCE,MLBA,Central_Steppe_MLBA,Shoendykol_MLBA_Fedorovo,Yes,Shoendykol,Kazakhstan,Forest / Steppe,50.82,75.6,M,H2a1a,R1a1a1b2a2b,automatic,4.761182,844185,0.005535,5.565843679,S10112.E1.L1,half,0.09,1,PASS (Xcontam=0.006)
I4794,I4794,"KZ-TAL-001, Taldysay 1, Grave N5, Central Kazakhstan Archaeology (project) 7.02 (?)",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Michael Frachetti, Egor Kitov, Gaziz Akhatov, Antonina Yermolayeva",3450,1600-1400 BCE,MLBA,Steppe_MLBA_oBMAC,Taldysay_MLBA2,Yes,"Aktobe, Koboda, Taldysay",Kazakhstan,Forest / Steppe,48.2144,67.0205,M,C4a'b'c,J2a1h2,manual,0.483,369196,0.003793,1.093995341,S4794.E1.L1,half,0.106,0.998,PASS
I4790,I4790,"KZ-DJA-004, Oy-Dzhaylau 7a, Grave 7 (Construction 3)",petrous,separate nuclear and mtDNA target enrichment,"1527-1439 calBCE (3220±20 BP, PSUAMS-2547)",This study,Michael Frachetti,3433,"1527-1439 calBCE (3220±20 BP, PSUAMS-2547)",MLBA,Central_Steppe_MLBA,Oy_Dzhaylau_MLBA,Yes,Oy-Dzhaylau III,Kazakhstan,Forest / Steppe,42.68943333,73.11748333,M,W1,R1a1a1b2a2a,manual,4.334,851851,0.004853,5.074283941,S4790.E1.L1,half,0.072,0.994,PASS (Xcontam=0.005)
I4257,I4257,"UZ-DK-003, Dashti-Kozy 1985, burial 12, 44-34, individual 1 ",petrous,separate nuclear and mtDNA target enrichment,"1518-1434 calBCE (3215±20 BP, PSUAMS-2510)",This study,Michael Frachetti,3426,"1518-1434 calBCE (3215±20 BP, PSUAMS-2510)",MLBA,Steppe_MLBA_oBMAC,Dashti_Kozy_BA,Yes,Dashty-Kozy,Tajikistan,Forest / Steppe,39.44805556,68.03138889,F,T2a1b1,n/a (female),n/a (female),3.354,755420,n/a (female),n/a (female),S4257.E1.L1,half,0.071,0.891,QUESTIONABLE (mtcontam=0.891)
I4313,I4313,"UZ-JAR-005 , Jarkutan 4a-86, Grave 106, 44-20 ",petrous,separate nuclear and mtDNA target enrichment,"1513-1431 calBCE (3210±20 BP, PSUAMS-2517)",This study,"Michael Frachetti, Julio Bendezu-Sarmiento",3422,"1513-1431 calBCE (3210±20 BP, PSUAMS-2517)",BA,BMAC,Dzharkutan1_BA,Yes,Dzharkutan,Uzbekistan,Iran / Turan,37.75,67,F,U3a'c,n/a (female),n/a (female),3.556,747332,n/a (female),n/a (female),S4313.E1.L1,half,0.109,0.99,PASS
I6667,I6667,"StPet23, site I, grave 28, Museum ID 7651-1 ",petrous,separate nuclear and mtDNA target enrichment,"1497-1413 calBCE (3170±20 BP, PSUAMS-2998)",This study,"Vyacheslav Moiseyev, Andrey Gromov",3405,"1497-1413 calBCE (3170±20 BP, PSUAMS-2998)",BA,Parkhai_LBA_o,Parkhai_LBA_o,Yes,Parkhai I,Turkmenistan,Iran / Turan,38.348048,56.24543,F,HV2a,n/a (female),n/a (female),2.499934,811059,n/a (female),n/a (female),S6667.E1.L1,half,0.136,0.987,PASS
I1656,I1656,Kat16,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),3402,"1501-1402 calBCE (3168±27 BP, OxA-31674)",EMBA,Armenia_MBA,Armenia_MBA,Yes,Katnaghbiur 1,Armenia,West Asia,40.377222,43.938333,F,T1a1'3,n/a (female),n/a (female),3.507,830061,n/a (female),n/a (female),S1656.E1.L1,half,0.077,0.996,PASS
I6717,I6717,"StPet58, collection 3390, individual 5",petrous,separate nuclear and mtDNA target enrichment,"1497-1406 calBCE (3160±20 BP, PSUAMS-4447)",This study,Vyacheslav Moiseyev,3402,"1497-1406 calBCE (3160±20 BP, PSUAMS-4447)",MLBA,Steppe_MLBA_oESHG,Krasnoyarsk_MLBA_o,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,T1a1,Q1a2,automatic,4.139634,855416,0.002768,3.243619748,S6717.E1.L1,half,0.045,0.999,PASS (Xcontam=0.003)
I4156,I4156,"UZ-BST-004, Site 7, Grave 33 (1), 44-91 ",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,H2a2a,G,automatic,0.02,24080,n/a (<200 SNPs),n/a (<200 SNPs),S4156.E1.L1,half,0.128,0.992,PASS
I11025,I11025,"UZ-BST-001, Site 4, Grave 37",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,F,N1b1a,n/a (female),n/a (female),0.023062,26490,n/a (female),n/a (female),S11025.E1.L1,half,0.256,0.919,QUESTIONABLE (mtcontam=0.919)
I4899,I4899,"UZ-BST-014, Site 5, Grave 11 ",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,HV,J,automatic,0.069,77841,n/a (<200 SNPs),n/a (<200 SNPs),S4899.E1.L1,half,0.099,0.944,QUESTIONABLE (mtcontam=0.944)
I11519,I11519,"UZ-BST-013, Site 4, Grave 20 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,F,J1b1b1,n/a (female),n/a (female),0.07936,86645,n/a (female),n/a (female),S11519.E1.L1,half,0.235,0.998,PASS
I4159,I4159,"UZ-BST-007, Site 4, Grave 12 ",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,R0,J2a1,automatic,0.265,242409,n/a (<200 SNPs),n/a (<200 SNPs),S4159.E1.L1,half,0.119,0.968,PASS
I5605,I5605,"UZ-BST-010, Site 7, Grave 84, 56-62 ",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,F,W6,n/a (female),n/a (female),0.263,254447,n/a (female),n/a (female),S5605.E1.L1,half,..,0.981,PASS
I4157,I4157,"UZ-BST-005, Site 7, Grave 60, 56-63 ",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,T1,J2a,automatic,0.293322,281113,n/a (<200 SNPs),n/a (<200 SNPs),S4157.E1.L1,half,0.108,0.98,PASS
I11026,I11026,"UZ-BST-008, Site 7, Grave 84 (2), 58-20, ",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,F,U7a,n/a (female),n/a (female),0.32537,290796,n/a (female),n/a (female),S11026.E1.L1,half,0.22,0.994,PASS
I4158,I4158,"UZ-BST-006, Site 5, Grave 4, 57-28 ",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,BMAC_o_LowCov,Bustan_BA_o_LowCov,No,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,H2,CT,automatic,0.008995,10710,n/a (<200 SNPs),n/a (<200 SNPs),S4158.E1.L1,half,0.055,0.782,QUESTIONABLE_CRITICAL (mtcontam=0.782)
I11521,I11521,"UZ-BST-012, Site 4, Grave 41, 57-29 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),no 14C date,This study,Michael Frachetti,3400,1600-1300 BCE,BA,Bustan_BA_o1,Bustan_BA_o1,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,F,R1b1,n/a (female),n/a (female),1.541477,683196,n/a (female),n/a (female),S11521.E1.L1,half,0.183,0.985,PASS
I11214,I11214,"138, BARN-014",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),no 14C date,This study,"Alexey Tishkin, Alexey V. Fribus, Sergey P. Grushin",3400,2000-900 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,Chumysh-Perekat-1,Russia,Forest / Steppe,53.82419444,84.61233333,F,H7b,n/a (female),n/a (female),0.088378,97901,n/a (female),n/a (female),S11214.Y1.E1.L1,half,0.04,..,PASS
